,Variable,Var_Dataframe,Var_Description
35,ELEVATORS_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
36,ENTRANCES_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
37,FLOORSMAX_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
38,FLOORSMIN_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
39,LANDAREA_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
40,LIVINGAPARTMENTS_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
41,LIVINGAREA_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
42,NONLIVINGAPARTMENTS_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
43,NONLIVINGAREA_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
44,APARTMENTS_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
45,BASEMENTAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
46,YEARS_BEGINEXPLUATATION_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
47,YEARS_BUILD_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
48,COMMONAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
49,ELEVATORS_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
50,ENTRANCES_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
51,FLOORSMAX_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
52,FLOORSMIN_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
53,LANDAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
54,LIVINGAPARTMENTS_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
55,LIVINGAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
56,NONLIVINGAPARTMENTS_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
57,NONLIVINGAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
58,APARTMENTS_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
59,BASEMENTAREA_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
60,YEARS_BEGINEXPLUATATION_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
61,YEARS_BUILD_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
62,COMMONAREA_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
63,ELEVATORS_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
64,ENTRANCES_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
65,FLOORSMAX_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
66,FLOORSMIN_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
67,LANDAREA_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
68,LIVINGAPARTMENTS_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
69,LIVINGAREA_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
70,NONLIVINGAPARTMENTS_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
71,NONLIVINGAREA_MEDI,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
72,TOTALAREA_MODE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
73,OBS_30_CNT_SOCIAL_CIRCLE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many observation of client's social surroundings with observable 30 DPD (days past due) default
74,DEF_30_CNT_SOCIAL_CIRCLE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many observation of client's social surroundings defaulted on 30 DPD (days past due) 
75,OBS_60_CNT_SOCIAL_CIRCLE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many observation of client's social surroundings with observable 60 DPD (days past due) default
76,DEF_60_CNT_SOCIAL_CIRCLE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
77,DAYS_LAST_PHONE_CHANGE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many days before application did client change phone
78,FLAG_DOCUMENT_2,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 2
79,FLAG_DOCUMENT_3,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 3
80,FLAG_DOCUMENT_4,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 4
81,FLAG_DOCUMENT_5,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 5
82,FLAG_DOCUMENT_6,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 6
83,FLAG_DOCUMENT_7,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 7
84,FLAG_DOCUMENT_8,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 8
85,FLAG_DOCUMENT_9,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 9
86,FLAG_DOCUMENT_10,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 10
87,FLAG_DOCUMENT_11,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 11
88,FLAG_DOCUMENT_12,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 12
89,FLAG_DOCUMENT_13,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 13
90,FLAG_DOCUMENT_14,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 14
91,FLAG_DOCUMENT_15,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 15
92,FLAG_DOCUMENT_16,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 16
93,FLAG_DOCUMENT_17,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 17
94,FLAG_DOCUMENT_18,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 18
95,FLAG_DOCUMENT_19,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 19
96,FLAG_DOCUMENT_20,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 20
97,FLAG_DOCUMENT_21,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Did client provide document 21
98,AMT_REQ_CREDIT_BUREAU_HOUR,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client one hour before application
99,AMT_REQ_CREDIT_BUREAU_DAY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application)
100,AMT_REQ_CREDIT_BUREAU_WEEK,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application)
101,AMT_REQ_CREDIT_BUREAU_MON,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application)
102,AMT_REQ_CREDIT_BUREAU_QRT,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
103,AMT_REQ_CREDIT_BUREAU_YEAR,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application)
104,BUREAU_DAYS_CREDIT_MIN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,How many days before current application did client apply for Credit Bureau credit
105,BUREAU_DAYS_CREDIT_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,How many days before current application did client apply for Credit Bureau credit
106,BUREAU_DAYS_CREDIT_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,How many days before current application did client apply for Credit Bureau credit
107,BUREAU_CREDIT_DAY_OVERDUE_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Number of days past due on CB credit at the time of application for related loan in our sample
108,BUREAU_CREDIT_DAY_OVERDUE_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Number of days past due on CB credit at the time of application for related loan in our sample
109,BUREAU_DAYS_CREDIT_ENDDATE_MIN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Remaining duration of CB credit (in days) at the time of application in Home Credit
110,BUREAU_DAYS_CREDIT_ENDDATE_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Remaining duration of CB credit (in days) at the time of application in Home Credit
111,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Remaining duration of CB credit (in days) at the time of application in Home Credit
112,BUREAU_DAYS_ENDDATE_FACT_MIN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Days since CB credit ended at the time of application in Home Credit (only for closed credit)
113,BUREAU_DAYS_ENDDATE_FACT_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Days since CB credit ended at the time of application in Home Credit (only for closed credit)
114,BUREAU_DAYS_ENDDATE_FACT_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Days since CB credit ended at the time of application in Home Credit (only for closed credit)
115,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample)
116,BUREAU_CNT_CREDIT_PROLONG_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,How many times was the Credit Bureau credit prolonged
117,BUREAU_AMT_CREDIT_SUM_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit amount for the Credit Bureau credit
118,BUREAU_AMT_CREDIT_SUM_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit amount for the Credit Bureau credit
119,BUREAU_AMT_CREDIT_SUM_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit amount for the Credit Bureau credit
120,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current debt on Credit Bureau credit
121,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current debt on Credit Bureau credit
122,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current debt on Credit Bureau credit
123,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit limit of credit card reported in Credit Bureau
124,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit limit of credit card reported in Credit Bureau
125,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit limit of credit card reported in Credit Bureau
126,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current amount overdue on Credit Bureau credit
127,BUREAU_DAYS_CREDIT_UPDATE_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,How many days before loan application did last information about the Credit Bureau credit come
128,BUREAU_AMT_ANNUITY_MAX,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Loan annuity
129,BUREAU_AMT_ANNUITY_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Loan annuity
130,BUREAU_AMT_ANNUITY_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Loan annuity
131,BUREAU_STATUS_0_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
132,BUREAU_STATUS_X_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
133,BUREAU_STATUS_1_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
134,BUREAU_STATUS_2_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
135,BUREAU_STATUS_3_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
136,BUREAU_STATUS_4_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
137,BUREAU_STATUS_5_PERC_MEAN,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,… [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,… 5 means DPD 120+ or sold or written off ] )"
138,BUREAU_TOTAL_ACTIVE_AMT_CREDIT_SUM,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current credit amount for the Credit Bureau credit
139,BUREAU_TOTAL_ACTIVE_AMT_ANNUITY,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Loan annuity
140,BUREAU_TOTAL_AMT_CREDIT_SUM_OVERDUE,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Current amount overdue on Credit Bureau credit
141,BUREAU_TOTAL_DAYS_CREDIT_ENDDATE,All client's previous credits provided by other financial institutions that were reported to Credit Bureau.,Remaining duration of CB credit (in days) at the time of application in Home Credit
142,PREV_AMT_ANNUITY_MIN,All previous applications for Home Credit loans of clients.,Loan annuity
143,PREV_AMT_ANNUITY_MAX,All previous applications for Home Credit loans of clients.,Loan annuity
144,PREV_AMT_ANNUITY_MEAN,All previous applications for Home Credit loans of clients.,Loan annuity
145,PREV_AMT_APPLICATION_MIN,All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
146,PREV_AMT_APPLICATION_MAX,All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
147,PREV_AMT_APPLICATION_MEAN,All previous applications for Home Credit loans of clients.,For how much credit did client ask on the previous application
148,PREV_AMT_CREDIT_MIN,All previous applications for Home Credit loans of clients.,Credit amount of the loan
149,PREV_AMT_CREDIT_MAX,All previous applications for Home Credit loans of clients.,Credit amount of the loan
150,PREV_AMT_CREDIT_MEAN,All previous applications for Home Credit loans of clients.,Credit amount of the loan
151,PREV_AMT_DOWN_PAYMENT_MIN,All previous applications for Home Credit loans of clients.,Down payment on the previous application
152,PREV_AMT_DOWN_PAYMENT_MAX,All previous applications for Home Credit loans of clients.,Down payment on the previous application
153,PREV_AMT_DOWN_PAYMENT_MEAN,All previous applications for Home Credit loans of clients.,Down payment on the previous application
154,PREV_AMT_GOODS_PRICE_MIN,All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
155,PREV_AMT_GOODS_PRICE_MAX,All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
156,PREV_AMT_GOODS_PRICE_MEAN,All previous applications for Home Credit loans of clients.,For consumer loans it is the price of the goods for which the loan is given
157,PREV_HOUR_APPR_PROCESS_START_MIN,All previous applications for Home Credit loans of clients.,Approximately at what hour did the client apply for the loan
